'Elapsed time','V4'
'hh:mm:ss.mmm','mV'
'0:00.000',0.455
'0:00.004',0.460
'0:00.008',0.450
'0:00.012',0.425
'0:00.016',0.435
'0:00.020',0.455
'0:00.024',0.490
'0:00.028',0.500
'0:00.032',0.485
'0:00.036',0.500
'0:00.040',0.495
'0:00.044',0.500
'0:00.048',0.500
'0:00.052',0.515
'0:00.056',0.530
'0:00.060',0.560
'0:00.064',0.570
'0:00.068',0.560
'0:00.072',0.535
'0:00.076',0.535
'0:00.080',0.535
'0:00.084',0.525
'0:00.088',0.510
'0:00.092',0.500
'0:00.096',0.500
'0:00.100',0.490
'0:00.104',0.485
'0:00.108',0.465
'0:00.112',0.460
'0:00.116',0.450
'0:00.120',0.445
'0:00.124',0.440
'0:00.128',0.435
'0:00.132',0.440
'0:00.136',0.445
'0:00.140',0.475
'0:00.144',0.495
'0:00.148',0.500
'0:00.152',0.500
'0:00.156',0.480
'0:00.160',0.450
'0:00.164',0.430
'0:00.168',0.430
'0:00.172',0.445
'0:00.176',0.495
'0:00.180',0.630
'0:00.184',0.880
'0:00.188',1.290
'0:00.192',1.770
'0:00.196',2.190
'0:00.200',2.415
'0:00.204',2.320
'0:00.208',1.985
'0:00.212',1.535
'0:00.216',1.085
'0:00.220',0.750
'0:00.224',0.580
'0:00.228',0.520
'0:00.232',0.525
'0:00.236',0.525
'0:00.240',0.515
'0:00.244',0.490
'0:00.248',0.475
'0:00.252',0.465
'0:00.256',0.450
'0:00.260',0.455
'0:00.264',0.455
'0:00.268',0.465
'0:00.272',0.480
'0:00.276',0.475
'0:00.280',0.490
'0:00.284',0.475
'0:00.288',0.455
'0:00.292',0.460
'0:00.296',0.465
'0:00.300',0.475
'0:00.304',0.475
'0:00.308',0.460
'0:00.312',0.485
'0:00.316',0.485
'0:00.320',0.485
'0:00.324',0.485
'0:00.328',0.495
'0:00.332',0.495
'0:00.336',0.495
'0:00.340',0.495
'0:00.344',0.495
'0:00.348',0.490
'0:00.352',0.485
'0:00.356',0.500
'0:00.360',0.515
'0:00.364',0.530
'0:00.368',0.515
'0:00.372',0.540
'0:00.376',0.555
'0:00.380',0.570
'0:00.384',0.580
'0:00.388',0.595
'0:00.392',0.575
'0:00.396',0.585
'0:00.400',0.600
'0:00.404',0.620
'0:00.408',0.650
'0:00.412',0.665
'0:00.416',0.695
'0:00.420',0.710
'0:00.424',0.725
'0:00.428',0.730
'0:00.432',0.730
'0:00.436',0.750
'0:00.440',0.760
'0:00.444',0.765
'0:00.448',0.755
'0:00.452',0.760
'0:00.456',0.770
'0:00.460',0.775
'0:00.464',0.770
'0:00.468',0.760
'0:00.472',0.755
'0:00.476',0.735
'0:00.480',0.710
'0:00.484',0.685
'0:00.488',0.660
'0:00.492',0.620
'0:00.496',0.600
'0:00.500',0.570
'0:00.504',0.555
'0:00.508',0.540
'0:00.512',0.530
'0:00.516',0.520
'0:00.520',0.505
'0:00.524',0.500
'0:00.528',0.500
'0:00.532',0.495
'0:00.536',0.485
'0:00.540',0.495
'0:00.544',0.485
'0:00.548',0.485
'0:00.552',0.490
'0:00.556',0.465
'0:00.560',0.485
'0:00.564',0.485
'0:00.568',0.490
'0:00.572',0.480
'0:00.576',0.475
'0:00.580',0.475
'0:00.584',0.490
'0:00.588',0.475
'0:00.592',0.460
'0:00.596',0.455
'0:00.600',0.465
'0:00.604',0.475
'0:00.608',0.485
'0:00.612',0.480
'0:00.616',0.480
'0:00.620',0.485
'0:00.624',0.490
'0:00.628',0.490
'0:00.632',0.480
'0:00.636',0.465
'0:00.640',0.450
'0:00.644',0.445
'0:00.648',0.450
'0:00.652',0.450
'0:00.656',0.475
'0:00.660',0.465
'0:00.664',0.455
'0:00.668',0.450
'0:00.672',0.450
'0:00.676',0.475
'0:00.680',0.465
'0:00.684',0.480
'0:00.688',0.485
'0:00.692',0.475
'0:00.696',0.490
'0:00.700',0.480
'0:00.704',0.450
'0:00.708',0.465
'0:00.712',0.475
'0:00.716',0.485
'0:00.720',0.485
'0:00.724',0.465
'0:00.728',0.485
'0:00.732',0.475
'0:00.736',0.475
'0:00.740',0.465
'0:00.744',0.465
'0:00.748',0.475
'0:00.752',0.475
'0:00.756',0.475
'0:00.760',0.475
'0:00.764',0.455
'0:00.768',0.450
'0:00.772',0.440
'0:00.776',0.435
'0:00.780',0.430
'0:00.784',0.450
'0:00.788',0.455
'0:00.792',0.465
'0:00.796',0.465
'0:00.800',0.450
'0:00.804',0.445
'0:00.808',0.445
'0:00.812',0.450
'0:00.816',0.455
'0:00.820',0.450
'0:00.824',0.460
'0:00.828',0.455
'0:00.832',0.455
'0:00.836',0.465
'0:00.840',0.465
'0:00.844',0.475
'0:00.848',0.485
'0:00.852',0.490
'0:00.856',0.485
'0:00.860',0.475
'0:00.864',0.475
'0:00.868',0.455
'0:00.872',0.465
'0:00.876',0.465
'0:00.880',0.475
'0:00.884',0.465
'0:00.888',0.455
'0:00.892',0.440
'0:00.896',0.455
'0:00.900',0.475
'0:00.904',0.510
'0:00.908',0.530
'0:00.912',0.535
'0:00.916',0.540
'0:00.920',0.525
'0:00.924',0.500
'0:00.928',0.500
'0:00.932',0.525
'0:00.936',0.560
'0:00.940',0.570
'0:00.944',0.560
'0:00.948',0.540
'0:00.952',0.535
'0:00.956',0.540
'0:00.960',0.540
'0:00.964',0.530
'0:00.968',0.525
'0:00.972',0.515
'0:00.976',0.495
'0:00.980',0.485
'0:00.984',0.465
'0:00.988',0.455
'0:00.992',0.460
'0:00.996',0.450
'0:01.000',0.455
'0:01.004',0.455
'0:01.008',0.465
'0:01.012',0.475
'0:01.016',0.475
'0:01.020',0.450
'0:01.024',0.440
'0:01.028',0.450
'0:01.032',0.455
'0:01.036',0.480
'0:01.040',0.495
'0:01.044',0.495
'0:01.048',0.500
'0:01.052',0.555
'0:01.056',0.670
'0:01.060',0.965
'0:01.064',1.360
'0:01.068',1.850
'0:01.072',2.260
'0:01.076',2.410
'0:01.080',2.250
'0:01.084',1.835
'0:01.088',1.370
'0:01.092',0.935
'0:01.096',0.685
'0:01.100',0.585
'0:01.104',0.560
'0:01.108',0.555
'0:01.112',0.545
'0:01.116',0.525
'0:01.120',0.495
'0:01.124',0.485
'0:01.128',0.480
'0:01.132',0.485
'0:01.136',0.495
'0:01.140',0.485
'0:01.144',0.465
'0:01.148',0.475
'0:01.152',0.480
'0:01.156',0.495
'0:01.160',0.500
'0:01.164',0.510
'0:01.168',0.510
'0:01.172',0.525
'0:01.176',0.515
'0:01.180',0.500
'0:01.184',0.485
'0:01.188',0.455
'0:01.192',0.475
'0:01.196',0.475
'0:01.200',0.485
'0:01.204',0.495
'0:01.208',0.500
'0:01.212',0.520
'0:01.216',0.535
'0:01.220',0.540
'0:01.224',0.530
'0:01.228',0.525
'0:01.232',0.525
'0:01.236',0.525
'0:01.240',0.530
'0:01.244',0.540
'0:01.248',0.540
'0:01.252',0.560
'0:01.256',0.565
'0:01.260',0.580
'0:01.264',0.580
'0:01.268',0.605
'0:01.272',0.610
'0:01.276',0.620
'0:01.280',0.645
'0:01.284',0.660
'0:01.288',0.680
'0:01.292',0.690
'0:01.296',0.705
'0:01.300',0.715
'0:01.304',0.735
'0:01.308',0.760
'0:01.312',0.770
'0:01.316',0.770
'0:01.320',0.775
'0:01.324',0.790
'0:01.328',0.790
'0:01.332',0.785
'0:01.336',0.770
'0:01.340',0.750
'0:01.344',0.735
'0:01.348',0.710
'0:01.352',0.695
'0:01.356',0.680
'0:01.360',0.655
'0:01.364',0.625
'0:01.368',0.605
'0:01.372',0.610
'0:01.376',0.600
'0:01.380',0.580
'0:01.384',0.555
'0:01.388',0.560
'0:01.392',0.555
'0:01.396',0.535
'0:01.400',0.525
'0:01.404',0.505
'0:01.408',0.495
'0:01.412',0.495
'0:01.416',0.460
'0:01.420',0.490
'0:01.424',0.500
'0:01.428',0.515
'0:01.432',0.510
'0:01.436',0.495
'0:01.440',0.495
'0:01.444',0.490
'0:01.448',0.510
'0:01.452',0.510
'0:01.456',0.505
'0:01.460',0.510
'0:01.464',0.515
'0:01.468',0.500
'0:01.472',0.490
'0:01.476',0.485
'0:01.480',0.490
'0:01.484',0.485
'0:01.488',0.480
'0:01.492',0.475
'0:01.496',0.455
'0:01.500',0.450
'0:01.504',0.455
'0:01.508',0.475
'0:01.512',0.490
'0:01.516',0.495
'0:01.520',0.495
'0:01.524',0.495
'0:01.528',0.495
'0:01.532',0.475
'0:01.536',0.455
'0:01.540',0.455
'0:01.544',0.475
'0:01.548',0.475
'0:01.552',0.480
'0:01.556',0.495
'0:01.560',0.495
'0:01.564',0.495
'0:01.568',0.515
'0:01.572',0.515
'0:01.576',0.515
'0:01.580',0.500
'0:01.584',0.475
'0:01.588',0.485
'0:01.592',0.495
'0:01.596',0.505
'0:01.600',0.505
'0:01.604',0.485
'0:01.608',0.500
'0:01.612',0.495
'0:01.616',0.490
'0:01.620',0.465
'0:01.624',0.465
'0:01.628',0.480
'0:01.632',0.480
'0:01.636',0.475
'0:01.640',0.475
'0:01.644',0.455
'0:01.648',0.480
'0:01.652',0.495
'0:01.656',0.490
'0:01.660',0.485
'0:01.664',0.485
'0:01.668',0.485
'0:01.672',0.480
'0:01.676',0.490
'0:01.680',0.490
'0:01.684',0.495
'0:01.688',0.495
'0:01.692',0.495
'0:01.696',0.495
'0:01.700',0.475
'0:01.704',0.475
'0:01.708',0.495
'0:01.712',0.485
'0:01.716',0.510
'0:01.720',0.495
'0:01.724',0.495
'0:01.728',0.485
'0:01.732',0.490
'0:01.736',0.485
'0:01.740',0.485
'0:01.744',0.495
'0:01.748',0.500
'0:01.752',0.515
'0:01.756',0.495
'0:01.760',0.475
'0:01.764',0.465
'0:01.768',0.475
'0:01.772',0.455
'0:01.776',0.480
'0:01.780',0.490
'0:01.784',0.495
'0:01.788',0.495
'0:01.792',0.495
'0:01.796',0.500
'0:01.800',0.500
'0:01.804',0.500
'0:01.808',0.500
'0:01.812',0.490
'0:01.816',0.500
'0:01.820',0.505
'0:01.824',0.515
'0:01.828',0.515
'0:01.832',0.510
'0:01.836',0.525
'0:01.840',0.525
'0:01.844',0.540
'0:01.848',0.545
'0:01.852',0.565
'0:01.856',0.580
'0:01.860',0.580
'0:01.864',0.595
'0:01.868',0.600
'0:01.872',0.600
'0:01.876',0.580
'0:01.880',0.580
'0:01.884',0.585
'0:01.888',0.580
'0:01.892',0.560
'0:01.896',0.540
'0:01.900',0.525
'0:01.904',0.515
'0:01.908',0.510
'0:01.912',0.515
'0:01.916',0.495
'0:01.920',0.495
'0:01.924',0.495
'0:01.928',0.485
'0:01.932',0.490
'0:01.936',0.485
'0:01.940',0.460
'0:01.944',0.490
'0:01.948',0.485
'0:01.952',0.475
'0:01.956',0.465
'0:01.960',0.455
'0:01.964',0.485
'0:01.968',0.495
'0:01.972',0.500
'0:01.976',0.495
'0:01.980',0.505
'0:01.984',0.605
'0:01.988',0.835
'0:01.992',1.230
'0:01.996',1.675
'0:02.000',2.110
'0:02.004',2.380
'0:02.008',2.405
'0:02.012',2.140
'0:02.016',1.715
'0:02.020',1.250
'0:02.024',0.860
'0:02.028',0.655
'0:02.032',0.570
'0:02.036',0.555
'0:02.040',0.545
'0:02.044',0.555
'0:02.048',0.560
'0:02.052',0.540
'0:02.056',0.530
'0:02.060',0.520
'0:02.064',0.500
'0:02.068',0.490
'0:02.072',0.495
'0:02.076',0.495
'0:02.080',0.495
'0:02.084',0.495
'0:02.088',0.500
'0:02.092',0.505
'0:02.096',0.515
'0:02.100',0.505
'0:02.104',0.495
'0:02.108',0.485
'0:02.112',0.495
'0:02.116',0.500
'0:02.120',0.510
'0:02.124',0.510
'0:02.128',0.515
'0:02.132',0.540
'0:02.136',0.555
'0:02.140',0.565
'0:02.144',0.560
'0:02.148',0.535
'0:02.152',0.525
'0:02.156',0.525
'0:02.160',0.535
'0:02.164',0.560
'0:02.168',0.575
'0:02.172',0.575
'0:02.176',0.560
'0:02.180',0.555
'0:02.184',0.570
'0:02.188',0.580
'0:02.192',0.570
'0:02.196',0.570
'0:02.200',0.580
'0:02.204',0.620
'0:02.208',0.645
'0:02.212',0.670
'0:02.216',0.685
'0:02.220',0.690
'0:02.224',0.710
'0:02.228',0.725
'0:02.232',0.735
'0:02.236',0.750
'0:02.240',0.755
'0:02.244',0.780
'0:02.248',0.790
'0:02.252',0.810
'0:02.256',0.815
'0:02.260',0.830
'0:02.264',0.830
'0:02.268',0.820
'0:02.272',0.795
'0:02.276',0.765
'0:02.280',0.725
'0:02.284',0.710
'0:02.288',0.690
'0:02.292',0.695
'0:02.296',0.685
'0:02.300',0.645
'0:02.304',0.620
'0:02.308',0.605
'0:02.312',0.595
'0:02.316',0.565
'0:02.320',0.570
'0:02.324',0.555
'0:02.328',0.555
'0:02.332',0.540
'0:02.336',0.540
'0:02.340',0.560
'0:02.344',0.545
'0:02.348',0.535
'0:02.352',0.525
'0:02.356',0.510
'0:02.360',0.515
'0:02.364',0.525
'0:02.368',0.535
'0:02.372',0.530
'0:02.376',0.530
'0:02.380',0.505
'0:02.384',0.500
'0:02.388',0.500
'0:02.392',0.510
'0:02.396',0.515
'0:02.400',0.520
'0:02.404',0.515
'0:02.408',0.500
'0:02.412',0.495
'0:02.416',0.495
'0:02.420',0.500
'0:02.424',0.505
'0:02.428',0.520
'0:02.432',0.515
'0:02.436',0.510
'0:02.440',0.510
'0:02.444',0.515
'0:02.448',0.515
'0:02.452',0.515
'0:02.456',0.515
'0:02.460',0.525
'0:02.464',0.510
'0:02.468',0.525
'0:02.472',0.525
'0:02.476',0.515
'0:02.480',0.500
'0:02.484',0.475
'0:02.488',0.495
'0:02.492',0.500
'0:02.496',0.505
'0:02.500',0.510
'0:02.504',0.510
'0:02.508',0.515
'0:02.512',0.520
'0:02.516',0.515
'0:02.520',0.515
'0:02.524',0.520
'0:02.528',0.525
'0:02.532',0.520
'0:02.536',0.525
'0:02.540',0.515
'0:02.544',0.515
'0:02.548',0.515
'0:02.552',0.510
'0:02.556',0.515
'0:02.560',0.515
'0:02.564',0.530
'0:02.568',0.545
'0:02.572',0.555
'0:02.576',0.540
'0:02.580',0.535
'0:02.584',0.525
'0:02.588',0.510
'0:02.592',0.485
'0:02.596',0.475
'0:02.600',0.465
'0:02.604',0.455
'0:02.608',0.480
'0:02.612',0.490
'0:02.616',0.495
'0:02.620',0.495
'0:02.624',0.495
'0:02.628',0.495
'0:02.632',0.485
'0:02.636',0.490
'0:02.640',0.495
'0:02.644',0.500
'0:02.648',0.500
'0:02.652',0.485
'0:02.656',0.500
'0:02.660',0.495
'0:02.664',0.495
'0:02.668',0.495
'0:02.672',0.500
'0:02.676',0.500
'0:02.680',0.500
'0:02.684',0.495
'0:02.688',0.495
'0:02.692',0.490
'0:02.696',0.500
'0:02.700',0.515
'0:02.704',0.535
'0:02.708',0.555
'0:02.712',0.535
'0:02.716',0.510
'0:02.720',0.495
'0:02.724',0.475
'0:02.728',0.465
'0:02.732',0.485
'0:02.736',0.495
'0:02.740',0.510
'0:02.744',0.515
'0:02.748',0.500
'0:02.752',0.485
'0:02.756',0.475
'0:02.760',0.465
'0:02.764',0.490
'0:02.768',0.485
'0:02.772',0.480
'0:02.776',0.460
'0:02.780',0.465
'0:02.784',0.480
'0:02.788',0.500
'0:02.792',0.525
'0:02.796',0.525
'0:02.800',0.515
'0:02.804',0.495
'0:02.808',0.495
'0:02.812',0.500
'0:02.816',0.515
'0:02.820',0.510
'0:02.824',0.525
'0:02.828',0.520
'0:02.832',0.525
'0:02.836',0.525
'0:02.840',0.520
'0:02.844',0.560
'0:02.848',0.590
'0:02.852',0.595
'0:02.856',0.600
'0:02.860',0.610
'0:02.864',0.615
'0:02.868',0.625
'0:02.872',0.615
'0:02.876',0.575
'0:02.880',0.535
'0:02.884',0.530
'0:02.888',0.530
'0:02.892',0.535
'0:02.896',0.515
'0:02.900',0.510
'0:02.904',0.515
'0:02.908',0.515
'0:02.912',0.505
'0:02.916',0.495
'0:02.920',0.485
'0:02.924',0.490
'0:02.928',0.485
'0:02.932',0.495
'0:02.936',0.500
'0:02.940',0.525
'0:02.944',0.535
'0:02.948',0.530
'0:02.952',0.500
'0:02.956',0.485
'0:02.960',0.475
'0:02.964',0.495
'0:02.968',0.515
'0:02.972',0.495
'0:02.976',0.445
'0:02.980',0.425
'0:02.984',0.450
'0:02.988',0.535
'0:02.992',0.810
'0:02.996',1.200
'0:03.000',1.700
'0:03.004',2.175
'0:03.008',2.450
'0:03.012',2.405
'0:03.016',2.095
'0:03.020',1.645
'0:03.024',1.175
'0:03.028',0.815
'0:03.032',0.625
'0:03.036',0.570
'0:03.040',0.570
'0:03.044',0.560
'0:03.048',0.540
'0:03.052',0.535
'0:03.056',0.535
'0:03.060',0.535
'0:03.064',0.525
'0:03.068',0.525
'0:03.072',0.515
'0:03.076',0.480
'0:03.080',0.435
'0:03.084',0.430
'0:03.088',0.455
'0:03.092',0.465
'0:03.096',0.460
'0:03.100',0.465
'0:03.104',0.475
'0:03.108',0.485
'0:03.112',0.495
'0:03.116',0.460
'0:03.120',0.485
'0:03.124',0.475
'0:03.128',0.485
'0:03.132',0.500
'0:03.136',0.535
'0:03.140',0.535
'0:03.144',0.515
'0:03.148',0.500
'0:03.152',0.495
'0:03.156',0.510
'0:03.160',0.510
'0:03.164',0.510
'0:03.168',0.515
'0:03.172',0.500
'0:03.176',0.500
'0:03.180',0.530
'0:03.184',0.540
'0:03.188',0.560
'0:03.192',0.570
'0:03.196',0.590
'0:03.200',0.600
'0:03.204',0.615
'0:03.208',0.630
'0:03.212',0.650
'0:03.216',0.655
'0:03.220',0.665
'0:03.224',0.680
'0:03.228',0.695
'0:03.232',0.715
'0:03.236',0.735
'0:03.240',0.745
'0:03.244',0.750
'0:03.248',0.755
'0:03.252',0.775
'0:03.256',0.805
'0:03.260',0.825
'0:03.264',0.835
'0:03.268',0.830
'0:03.272',0.810
'0:03.276',0.775
'0:03.280',0.730
'0:03.284',0.695
'0:03.288',0.680
'0:03.292',0.665
'0:03.296',0.650
'0:03.300',0.640
'0:03.304',0.620
'0:03.308',0.595
'0:03.312',0.580
'0:03.316',0.565
'0:03.320',0.555
