'Elapsed time','V4'
'0:06.660',0.520
'0:06.664',0.515
'0:06.668',0.525
'0:06.672',0.520
'0:06.676',0.510
'0:06.680',0.530
'0:06.684',0.525
'0:06.688',0.540
'0:06.692',0.530
'0:06.696',0.520
'0:06.700',0.535
'0:06.704',0.525
'0:06.708',0.530
'0:06.712',0.525
'0:06.716',0.520
'0:06.720',0.525
'0:06.724',0.525
'0:06.728',0.525
'0:06.732',0.525
'0:06.736',0.520
'0:06.740',0.520
'0:06.744',0.525
'0:06.748',0.535
'0:06.752',0.530
'0:06.756',0.530
'0:06.760',0.535
'0:06.764',0.535
'0:06.768',0.535
'0:06.772',0.540
'0:06.776',0.545
'0:06.780',0.560
'0:06.784',0.540
'0:06.788',0.540
'0:06.792',0.530
'0:06.796',0.525
'0:06.800',0.520
'0:06.804',0.515
'0:06.808',0.525
'0:06.812',0.525
'0:06.816',0.530
'0:06.820',0.520
'0:06.824',0.530
'0:06.828',0.535
'0:06.832',0.535
'0:06.836',0.535
'0:06.840',0.530
'0:06.844',0.515
'0:06.848',0.535
'0:06.852',0.540
'0:06.856',0.545
'0:06.860',0.560
'0:06.864',0.560
'0:06.868',0.580
'0:06.872',0.595
'0:06.876',0.585
'0:06.880',0.580
'0:06.884',0.595
'0:06.888',0.600
'0:06.892',0.620
'0:06.896',0.645
'0:06.900',0.645
'0:06.904',0.630
'0:06.908',0.620
'0:06.912',0.625
'0:06.916',0.610
'0:06.920',0.595
'0:06.924',0.590
'0:06.928',0.595
'0:06.932',0.580
'0:06.936',0.570
'0:06.940',0.540
'0:06.944',0.535
'0:06.948',0.525
'0:06.952',0.515
'0:06.956',0.515
'0:06.960',0.515
'0:06.964',0.530
'0:06.968',0.525
'0:06.972',0.525
'0:06.976',0.520
'0:06.980',0.520
'0:06.984',0.535
'0:06.988',0.530
'0:06.992',0.545
'0:06.996',0.560
'0:07.000',0.560
'0:07.004',0.565
'0:07.008',0.610
'0:07.012',0.730
'0:07.016',1.010
'0:07.020',1.410
'0:07.024',1.865
'0:07.028',2.260
'0:07.032',2.460
'0:07.036',2.350
'0:07.040',2.010
'0:07.044',1.580
'0:07.048',1.140
'0:07.052',0.825
'0:07.056',0.660
'0:07.060',0.610
'0:07.064',0.605
'0:07.068',0.600
'0:07.072',0.585
'0:07.076',0.560
'0:07.080',0.540
'0:07.084',0.540
'0:07.088',0.530
'0:07.092',0.520
'0:07.096',0.525
'0:07.100',0.525
'0:07.104',0.530
'0:07.108',0.530
'0:07.112',0.535
'0:07.116',0.525
'0:07.120',0.535
'0:07.124',0.535
'0:07.128',0.530
'0:07.132',0.540
'0:07.136',0.535
'0:07.140',0.535
'0:07.144',0.540
'0:07.148',0.540
'0:07.152',0.560
'0:07.156',0.540
'0:07.160',0.540
'0:07.164',0.535
'0:07.168',0.535
'0:07.172',0.555
'0:07.176',0.555
'0:07.180',0.545
'0:07.184',0.560
'0:07.188',0.570
'0:07.192',0.575
'0:07.196',0.585
'0:07.200',0.600
'0:07.204',0.580
'0:07.208',0.595
'0:07.212',0.590
'0:07.216',0.610
'0:07.220',0.645
'0:07.224',0.630
'0:07.228',0.650
'0:07.232',0.655
'0:07.236',0.670
'0:07.240',0.695
'0:07.244',0.705
'0:07.248',0.735
'0:07.252',0.745
'0:07.256',0.760
'0:07.260',0.770
'0:07.264',0.780
'0:07.268',0.805
'0:07.272',0.810
'0:07.276',0.815
'0:07.280',0.815
'0:07.284',0.825
'0:07.288',0.825
'0:07.292',0.830
'0:07.296',0.820
'0:07.300',0.795
'0:07.304',0.780
'0:07.308',0.765
'0:07.312',0.750
'0:07.316',0.710
'0:07.320',0.680
'0:07.324',0.665
'0:07.328',0.655
'0:07.332',0.655
'0:07.336',0.640
'0:07.340',0.610
'0:07.344',0.600
'0:07.348',0.585
'0:07.352',0.570
'0:07.356',0.560
'0:07.360',0.560
'0:07.364',0.540
'0:07.368',0.535
'0:07.372',0.540
'0:07.376',0.545
'0:07.380',0.555
'0:07.384',0.540
'0:07.388',0.515
'0:07.392',0.525
'0:07.396',0.525
'0:07.400',0.525
'0:07.404',0.525
'0:07.408',0.520
'0:07.412',0.530
'0:07.416',0.515
'0:07.420',0.515
'0:07.424',0.515
'0:07.428',0.510
'0:07.432',0.535
'0:07.436',0.530
'0:07.440',0.535
'0:07.444',0.520
'0:07.448',0.515
'0:07.452',0.505
'0:07.456',0.515
'0:07.460',0.515
'0:07.464',0.510
'0:07.468',0.510
'0:07.472',0.500
'0:07.476',0.495
'0:07.480',0.500
'0:07.484',0.510
'0:07.488',0.515
'0:07.492',0.510
'0:07.496',0.515
'0:07.500',0.525
'0:07.504',0.525
'0:07.508',0.525
'0:07.512',0.515
'0:07.516',0.510
'0:07.520',0.515
'0:07.524',0.505
'0:07.528',0.510
'0:07.532',0.500
'0:07.536',0.505
'0:07.540',0.510
'0:07.544',0.520
'0:07.548',0.520
'0:07.552',0.520
'0:07.556',0.500
'0:07.560',0.510
'0:07.564',0.510
'0:07.568',0.515
'0:07.572',0.520
'0:07.576',0.495
'0:07.580',0.505
'0:07.584',0.500
'0:07.588',0.495
'0:07.592',0.495
'0:07.596',0.485
'0:07.600',0.495
'0:07.604',0.495
'0:07.608',0.495
'0:07.612',0.485
'0:07.616',0.495
'0:07.620',0.490
'0:07.624',0.490
'0:07.628',0.495
'0:07.632',0.495
'0:07.636',0.485
'0:07.640',0.485
'0:07.644',0.485
'0:07.648',0.475
'0:07.652',0.465
'0:07.656',0.480
'0:07.660',0.485
'0:07.664',0.495
'0:07.668',0.495
'0:07.672',0.495
'0:07.676',0.500
'0:07.680',0.495
'0:07.684',0.500
'0:07.688',0.490
'0:07.692',0.475
'0:07.696',0.475
'0:07.700',0.475
'0:07.704',0.475
'0:07.708',0.485
'0:07.712',0.480
'0:07.716',0.485
'0:07.720',0.490
'0:07.724',0.465
'0:07.728',0.490
'0:07.732',0.490
'0:07.736',0.500
'0:07.740',0.485
'0:07.744',0.465
'0:07.748',0.465
'0:07.752',0.475
'0:07.756',0.475
'0:07.760',0.480
'0:07.764',0.480
'0:07.768',0.485
'0:07.772',0.495
'0:07.776',0.495
'0:07.780',0.500
'0:07.784',0.495
'0:07.788',0.495
'0:07.792',0.490
'0:07.796',0.495
'0:07.800',0.495
'0:07.804',0.495
'0:07.808',0.495
'0:07.812',0.490
'0:07.816',0.490
'0:07.820',0.490
'0:07.824',0.495
'0:07.828',0.500
'0:07.832',0.485
'0:07.836',0.485
'0:07.840',0.475
'0:07.844',0.485
'0:07.848',0.485
'0:07.852',0.465
'0:07.856',0.495
'0:07.860',0.495
'0:07.864',0.495
'0:07.868',0.495
'0:07.872',0.495
'0:07.876',0.495
'0:07.880',0.490
'0:07.884',0.505
'0:07.888',0.505
'0:07.892',0.525
'0:07.896',0.555
'0:07.900',0.560
'0:07.904',0.565
'0:07.908',0.555
'0:07.912',0.535
'0:07.916',0.545
'0:07.920',0.575
'0:07.924',0.585
'0:07.928',0.595
'0:07.932',0.605
'0:07.936',0.580
'0:07.940',0.580
'0:07.944',0.570
'0:07.948',0.560
'0:07.952',0.545
'0:07.956',0.535
'0:07.960',0.525
'0:07.964',0.515
'0:07.968',0.505
'0:07.972',0.495
'0:07.976',0.495
'0:07.980',0.485
'0:07.984',0.490
'0:07.988',0.495
'0:07.992',0.485
'0:07.996',0.485
'0:08.000',0.480
'0:08.004',0.480
'0:08.008',0.490
'0:08.012',0.485
'0:08.016',0.490
'0:08.020',0.485
'0:08.024',0.490
'0:08.028',0.490
'0:08.032',0.485
'0:08.036',0.485
'0:08.040',0.525
'0:08.044',0.680
'0:08.048',0.985
'0:08.052',1.425
'0:08.056',1.900
'0:08.060',2.250
'0:08.064',2.365
'0:08.068',2.155
'0:08.072',1.725
'0:08.076',1.250
'0:08.080',0.875
'0:08.084',0.650
'0:08.088',0.580
'0:08.092',0.565
'0:08.096',0.565
'0:08.100',0.540
'0:08.104',0.540
'0:08.108',0.515
'0:08.112',0.500
'0:08.116',0.490
'0:08.120',0.495
'0:08.124',0.490
'0:08.128',0.485
'0:08.132',0.485
'0:08.136',0.485
'0:08.140',0.485
'0:08.144',0.495
'0:08.148',0.490
'0:08.152',0.490
'0:08.156',0.495
'0:08.160',0.495
'0:08.164',0.495
'0:08.168',0.495
'0:08.172',0.490
'0:08.176',0.495
'0:08.180',0.500
'0:08.184',0.510
'0:08.188',0.510
'0:08.192',0.515
'0:08.196',0.515
'0:08.200',0.525
'0:08.204',0.530
'0:08.208',0.535
'0:08.212',0.530
'0:08.216',0.530
'0:08.220',0.530
'0:08.224',0.535
'0:08.228',0.540
'0:08.232',0.545
'0:08.236',0.560
'0:08.240',0.570
'0:08.244',0.580
'0:08.248',0.610
'0:08.252',0.585
'0:08.256',0.600
'0:08.260',0.615
'0:08.264',0.630
'0:08.268',0.665
'0:08.272',0.665
'0:08.276',0.680
'0:08.280',0.680
'0:08.284',0.700
'0:08.288',0.715
'0:08.292',0.730
'0:08.296',0.755
'0:08.300',0.765
'0:08.304',0.775
'0:08.308',0.770
'0:08.312',0.775
'0:08.316',0.775
'0:08.320',0.790
'0:08.324',0.785
'0:08.328',0.775
'0:08.332',0.765
'0:08.336',0.750
'0:08.340',0.735
'0:08.344',0.710
'0:08.348',0.685
'0:08.352',0.670
'0:08.356',0.655
'0:08.360',0.625
'0:08.364',0.610
'0:08.368',0.585
'0:08.372',0.580
'0:08.376',0.570
'0:08.380',0.570
'0:08.384',0.570
'0:08.388',0.560
'0:08.392',0.535
'0:08.396',0.535
'0:08.400',0.520
'0:08.404',0.515
'0:08.408',0.515
'0:08.412',0.500
'0:08.416',0.500
'0:08.420',0.500
'0:08.424',0.495
'0:08.428',0.510
'0:08.432',0.500
'0:08.436',0.485
'0:08.440',0.505
'0:08.444',0.500
'0:08.448',0.510
'0:08.452',0.495
'0:08.456',0.485
'0:08.460',0.495
'0:08.464',0.485
'0:08.468',0.485
'0:08.472',0.495
'0:08.476',0.485
'0:08.480',0.495
'0:08.484',0.495
'0:08.488',0.490
'0:08.492',0.490
'0:08.496',0.495
'0:08.500',0.495
'0:08.504',0.500
'0:08.508',0.495
'0:08.512',0.500
'0:08.516',0.510
'0:08.520',0.500
'0:08.524',0.500
'0:08.528',0.500
'0:08.532',0.500
'0:08.536',0.490
'0:08.540',0.485
'0:08.544',0.485
'0:08.548',0.485
'0:08.552',0.495
'0:08.556',0.500
'0:08.560',0.500
'0:08.564',0.500
'0:08.568',0.495
'0:08.572',0.495
'0:08.576',0.490
'0:08.580',0.485
'0:08.584',0.485
'0:08.588',0.485
'0:08.592',0.485
'0:08.596',0.495
'0:08.600',0.490
'0:08.604',0.475
'0:08.608',0.495
'0:08.612',0.495
'0:08.616',0.500
'0:08.620',0.485
'0:08.624',0.455
'0:08.628',0.465
'0:08.632',0.475
'0:08.636',0.480
'0:08.640',0.480
'0:08.644',0.480
'0:08.648',0.475
'0:08.652',0.480
'0:08.656',0.480
'0:08.660',0.475
'0:08.664',0.460
'0:08.668',0.450
'0:08.672',0.455
'0:08.676',0.465
'0:08.680',0.480
'0:08.684',0.480
'0:08.688',0.475
'0:08.692',0.475
'0:08.696',0.475
'0:08.700',0.480
'0:08.704',0.480
'0:08.708',0.475
'0:08.712',0.465
'0:08.716',0.475
'0:08.720',0.480
'0:08.724',0.480
'0:08.728',0.490
'0:08.732',0.485
'0:08.736',0.495
'0:08.740',0.480
'0:08.744',0.490
'0:08.748',0.475
'0:08.752',0.475
'0:08.756',0.475
'0:08.760',0.465
'0:08.764',0.485
'0:08.768',0.475
'0:08.772',0.465
'0:08.776',0.480
'0:08.780',0.475
'0:08.784',0.475
'0:08.788',0.475
'0:08.792',0.450
'0:08.796',0.475
'0:08.800',0.465
'0:08.804',0.455
'0:08.808',0.455
'0:08.812',0.460
'0:08.816',0.480
'0:08.820',0.485
'0:08.824',0.485
'0:08.828',0.485
'0:08.832',0.480
'0:08.836',0.480
'0:08.840',0.490
'0:08.844',0.485
'0:08.848',0.485
'0:08.852',0.495
'0:08.856',0.485
'0:08.860',0.475
'0:08.864',0.480
'0:08.868',0.475
'0:08.872',0.485
'0:08.876',0.495
'0:08.880',0.495
'0:08.884',0.505
'0:08.888',0.525
'0:08.892',0.555
'0:08.896',0.545
'0:08.900',0.555
'0:08.904',0.555
'0:08.908',0.535
'0:08.912',0.560
'0:08.916',0.570
'0:08.920',0.580
'0:08.924',0.565
'0:08.928',0.560
'0:08.932',0.545
'0:08.936',0.545
'0:08.940',0.540
'0:08.944',0.535
'0:08.948',0.525
'0:08.952',0.525
'0:08.956',0.515
'0:08.960',0.495
'0:08.964',0.500
'0:08.968',0.495
'0:08.972',0.485
'0:08.976',0.480
'0:08.980',0.460
'0:08.984',0.485
'0:08.988',0.480
'0:08.992',0.485
'0:08.996',0.475
'0:09.000',0.460
'0:09.004',0.450
'0:09.008',0.460
'0:09.012',0.495
'0:09.016',0.500
'0:09.020',0.510
'0:09.024',0.500
'0:09.028',0.495
'0:09.032',0.540
'0:09.036',0.710
'0:09.040',1.045
'0:09.044',1.490
'0:09.048',1.955
'0:09.052',2.305
'0:09.056',2.395
'0:09.060',2.170
'0:09.064',1.750
'0:09.068',1.265
'0:09.072',0.840
'0:09.076',0.605
'0:09.080',0.540
'0:09.084',0.540
'0:09.088',0.560
'0:09.092',0.555
'0:09.096',0.530
'0:09.100',0.510
'0:09.104',0.495
'0:09.108',0.485
'0:09.112',0.495
'0:09.116',0.490
'0:09.120',0.495
'0:09.124',0.480
'0:09.128',0.455
'0:09.132',0.490
'0:09.136',0.495
'0:09.140',0.495
'0:09.144',0.495
'0:09.148',0.485
'0:09.152',0.505
'0:09.156',0.505
'0:09.160',0.510
'0:09.164',0.500
'0:09.168',0.500
'0:09.172',0.510
'0:09.176',0.515
'0:09.180',0.525
'0:09.184',0.525
'0:09.188',0.520
'0:09.192',0.535
'0:09.196',0.540
'0:09.200',0.535
'0:09.204',0.525
'0:09.208',0.525
'0:09.212',0.525
'0:09.216',0.535
'0:09.220',0.540
'0:09.224',0.560
'0:09.228',0.585
'0:09.232',0.590
'0:09.236',0.595
'0:09.240',0.590
'0:09.244',0.605
'0:09.248',0.610
'0:09.252',0.625
'0:09.256',0.655
'0:09.260',0.680
'0:09.264',0.695
'0:09.268',0.705
'0:09.272',0.735
'0:09.276',0.740
'0:09.280',0.750
'0:09.284',0.755
'0:09.288',0.765
'0:09.292',0.790
'0:09.296',0.815
'0:09.300',0.810
'0:09.304',0.830
'0:09.308',0.830
'0:09.312',0.825
'0:09.316',0.825
'0:09.320',0.805
'0:09.324',0.775
'0:09.328',0.750
'0:09.332',0.730
'0:09.336',0.715
'0:09.340',0.675
'0:09.344',0.655
'0:09.348',0.620
'0:09.352',0.610
'0:09.356',0.585
'0:09.360',0.565
'0:09.364',0.545
'0:09.368',0.555
'0:09.372',0.535
'0:09.376',0.525
'0:09.380',0.510
'0:09.384',0.515
'0:09.388',0.525
'0:09.392',0.515
'0:09.396',0.510
'0:09.400',0.510
'0:09.404',0.510
'0:09.408',0.515
'0:09.412',0.505
'0:09.416',0.500
'0:09.420',0.495
'0:09.424',0.495
'0:09.428',0.495
'0:09.432',0.495
'0:09.436',0.500
'0:09.440',0.495
'0:09.444',0.495
'0:09.448',0.500
'0:09.452',0.495
'0:09.456',0.495
'0:09.460',0.490
'0:09.464',0.490
'0:09.468',0.485
'0:09.472',0.485
'0:09.476',0.490
'0:09.480',0.490
'0:09.484',0.480
'0:09.488',0.495
'0:09.492',0.490
'0:09.496',0.490
'0:09.500',0.485
'0:09.504',0.465
'0:09.508',0.480
'0:09.512',0.495
'0:09.516',0.495
'0:09.520',0.495
'0:09.524',0.490
'0:09.528',0.495
'0:09.532',0.485
'0:09.536',0.485
'0:09.540',0.485
'0:09.544',0.490
'0:09.548',0.490
'0:09.552',0.495
'0:09.556',0.485
'0:09.560',0.480
'0:09.564',0.485
'0:09.568',0.485
'0:09.572',0.485
'0:09.576',0.490
'0:09.580',0.485
'0:09.584',0.490
'0:09.588',0.485
'0:09.592',0.485
'0:09.596',0.485
'0:09.600',0.475
'0:09.604',0.475
'0:09.608',0.465
'0:09.612',0.475
'0:09.616',0.475
'0:09.620',0.480
'0:09.624',0.485
'0:09.628',0.475
'0:09.632',0.485
'0:09.636',0.480
'0:09.640',0.480
'0:09.644',0.480
'0:09.648',0.475
'0:09.652',0.445
'0:09.656',0.455
'0:09.660',0.455
'0:09.664',0.465
'0:09.668',0.460
'0:09.672',0.450
'0:09.676',0.465
'0:09.680',0.465
'0:09.684',0.465
'0:09.688',0.475
'0:09.692',0.465
'0:09.696',0.475
'0:09.700',0.485
'0:09.704',0.480
'0:09.708',0.475
'0:09.712',0.460
'0:09.716',0.475
'0:09.720',0.465
'0:09.724',0.475
'0:09.728',0.455
'0:09.732',0.475
'0:09.736',0.475
'0:09.740',0.475
'0:09.744',0.475
'0:09.748',0.475
'0:09.752',0.475
'0:09.756',0.465
'0:09.760',0.475
'0:09.764',0.465
'0:09.768',0.465
'0:09.772',0.475
'0:09.776',0.475
'0:09.780',0.455
'0:09.784',0.460
'0:09.788',0.460
'0:09.792',0.475
'0:09.796',0.475
'0:09.800',0.490
'0:09.804',0.485
'0:09.808',0.485
'0:09.812',0.475
'0:09.816',0.460
'0:09.820',0.475
'0:09.824',0.475
'0:09.828',0.475
'0:09.832',0.475
'0:09.836',0.465
'0:09.840',0.475
'0:09.844',0.510
'0:09.848',0.525
'0:09.852',0.535
'0:09.856',0.525
'0:09.860',0.510
'0:09.864',0.530
'0:09.868',0.540
'0:09.872',0.560
'0:09.876',0.570
'0:09.880',0.560
'0:09.884',0.560
'0:09.888',0.560
'0:09.892',0.560
'0:09.896',0.560
'0:09.900',0.560
'0:09.904',0.540
'0:09.908',0.535
'0:09.912',0.525
'0:09.916',0.505
'0:09.920',0.510
'0:09.924',0.500
'0:09.928',0.495
'0:09.932',0.485
'0:09.936',0.480
'0:09.940',0.475
'0:09.944',0.465
'0:09.948',0.475
'0:09.952',0.480
'0:09.956',0.465
'0:09.960',0.465
'0:09.964',0.450
'0:09.968',0.455
'0:09.972',0.455
'0:09.976',0.475
'0:09.980',0.495
'0:09.984',0.495
'0:09.988',0.510
'0:09.992',0.615
'0:09.996',0.875
